Wall time,Step,Value
1766507067.578869,186,0.0
1766507081.2721071,10306,0.7796609997749329
1766507088.630985,20462,0.7586206793785095
1766507095.726259,30616,0.7894737124443054
1766507102.859209,40663,0.7586206793785095
1766507117.5272572,50712,0.7333333492279053
1766507124.6020322,60715,0.8214285969734192
1766507131.7593348,70830,0.7758620977401733
1766507139.429683,80989,0.6323529481887817
1766507146.679945,91102,0.7213114500045776
1766507160.826561,101230,0.7460317611694336
1766507167.980474,111350,0.8392857313156128
1766507174.80713,121414,0.8571428656578064
1766507181.744311,131453,0.8070175647735596
1766507188.7650712,141561,0.8421052694320679
1766507202.645633,151648,0.7833333611488342
1766507209.7765682,161714,0.8571428656578064
1766507216.8125062,171718,0.8727272748947144
1766507223.747793,181803,0.9433962106704712
1766507231.156424,191919,0.8245614171028137
1766507245.6490529,201962,0.875
1766507252.726916,211973,0.8571428656578064
1766507259.857729,222006,0.8909090757369995
1766507266.779965,232123,0.9433962106704712
1766507273.796875,242252,0.8909090757369995
1766507287.992602,252442,0.8909090757369995
1766507294.8900852,262615,0.9259259104728699
1766507301.561163,272780,0.9245283007621765
1766507308.517758,282977,0.9433962106704712
1766507315.533132,292990,0.8518518805503845
1766507329.154971,303023,0.9245283007621765
1766507336.43387,313061,0.8909090757369995
1766507343.185229,323127,0.942307710647583
1766507350.309203,333271,0.8727272748947144
1766507357.1615129,343395,0.9074074029922485
1766507371.209701,353548,0.8275862336158752
1766507378.2990642,363701,0.9259259104728699
1766507385.1909702,373714,0.8867924809455872
1766507392.025742,383852,0.8909090757369995
1766507399.196276,394018,0.859649121761322
1766507413.332917,404048,0.8679245114326477
1766507420.310313,414116,0.9245283007621765
1766507427.384602,424256,0.8571428656578064
1766507434.254368,434335,0.942307710647583
1766507441.154064,444393,0.9245283007621765
1766507455.767501,454438,0.8070175647735596
1766507462.916936,464555,0.9074074029922485
1766507469.794341,474571,0.8703703880310059
1766507476.689638,484628,0.8888888955116272
1766507483.711343,494779,0.9433962106704712
1766507498.147252,504791,0.8275862336158752
1766507505.201417,514871,0.8392857313156128
1766507512.203676,524888,0.8545454740524292
1766507519.271256,535060,0.8421052694320679
1766507526.251211,545084,0.8571428656578064
1766507540.416302,555266,0.9074074029922485
1766507547.352142,565422,0.9090909361839294
1766507554.18842,575592,0.8909090757369995
1766507561.179981,585725,0.8245614171028137
1766507568.04906,595796,0.9245283007621765
1766507582.501672,605990,0.9259259104728699
1766507589.239278,615990,0.9230769276618958
1766507596.241683,626000,0.8888888955116272
1766507603.536033,636043,0.8571428656578064
1766507610.2180722,646079,0.942307710647583
1766507624.458685,656143,0.8727272748947144
1766507631.400117,666279,0.9615384340286255
1766507638.184715,676305,0.9230769276618958
1766507645.57174,686358,0.9245283007621765
1766507653.3112488,696504,0.9433962106704712
1766507667.574521,706556,0.9615384340286255
1766507674.6769931,716597,0.8727272748947144
1766507681.75772,726667,0.8909090757369995
1766507688.616967,736740,0.9615384340286255
1766507695.603799,746915,0.9056603908538818
1766507709.604077,756927,0.9411764740943909
1766507716.669054,767112,0.9259259104728699
1766507723.5382211,777256,0.8909090757369995
1766507730.374499,787302,0.9074074029922485
1766507737.466513,797340,0.8571428656578064
1766507751.284511,807349,0.942307710647583
1766507758.244837,817513,0.9259259104728699
1766507765.2560692,827689,0.875
1766507772.14589,837761,0.8888888955116272
1766507779.0967329,847938,0.9259259104728699
1766507792.763648,858007,0.8571428656578064
1766507799.817651,868179,0.8888888955116272
1766507807.0354612,878365,0.875
1766507813.832221,888492,0.9433962106704712
1766507820.642424,898500,0.8545454740524292
1766507834.620279,908593,0.8333333134651184
1766507841.600118,918594,0.8571428656578064
1766507848.476793,928711,0.8571428656578064
1766507855.507257,938895,0.9074074029922485
1766507862.6906922,949032,0.9074074029922485
1766507876.9307442,959149,0.8909090757369995
1766507883.701652,969289,0.9615384340286255
1766507890.598583,979329,0.9074074029922485
1766507897.776533,989381,0.8571428656578064
1766507904.7062342,999500,0.942307710647583
1766507918.874677,1009637,0.9090909361839294
1766507926.036701,1019805,0.9259259104728699
1766507933.246309,1029896,0.8571428656578064
1766507940.27541,1039900,0.8245614171028137
