Wall time,Step,Value
1764733126.342121,100,0.0
1764733139.869727,10113,0.6666666865348816
1764733150.362732,20131,0.6392405033111572
1764733160.7585652,30152,0.6193548440933228
1764733171.0604532,40196,0.4930555522441864
1764733185.309692,50227,0.4755244851112366
1764733196.471076,60260,0.4726027250289917
1764733207.034113,70268,0.3636363744735718
1764733217.3805828,80296,0.23529411852359772
1764733226.777344,90377,0.2661290466785431
1764733240.4561841,100377,0.2068965584039688
1764733249.609372,110476,0.19327731430530548
1764733258.5499752,120522,0.12389380484819412
1764733268.546477,130523,0.15789473056793213
1764733277.5159922,140573,0.13793103396892548
1764733291.449496,150588,0.17796610295772552
1764733301.331597,160681,0.09009008854627609
1764733310.564567,170740,0.1160714253783226
1764733320.777687,180833,0.14406779408454895
1764733329.9939048,190893,0.14159291982650757
1764733343.253033,200924,0.125
1764733352.2164721,211016,0.072727270424366
1764733361.558375,221097,0.10256410390138626
1764733370.533726,231152,0.06481481343507767
1764733379.9756532,241216,0.09734513610601425
1764733394.578437,251231,0.14782609045505524
1764733404.745882,261301,0.1315789520740509
1764733413.928543,271356,0.12931033968925476
1764733423.842443,281433,0.13274335861206055
1764733433.616416,291467,0.10810811072587967
1764733447.028887,301472,0.12389380484819412
1764733457.111279,311539,0.11403508484363556
1764733466.3974369,321546,0.15126051008701324
1764733475.2815318,331590,0.1260504275560379
1764733484.115711,341653,0.1355932205915451
1764733497.196079,351719,0.16239316761493683
1764733506.6750221,361728,0.0796460211277008
1764733516.9990242,371800,0.08474576473236084
1764733527.30372,381896,0.1034482792019844
1764733536.861174,391942,0.14960630238056183
1764733550.979959,401982,0.15447154641151428
1764733560.8748648,412052,0.16030533611774445
1764733570.257123,422102,0.09401709586381912
1764733579.412053,432176,0.125
1764733588.431941,442186,0.10526315867900848
1764733601.344071,452201,0.09482758492231369
1764733611.801074,462291,0.1120000034570694
1764733621.372468,472338,0.09565217047929764
1764733631.953204,482411,0.095238097012043
1764733641.2215638,492488,0.12295082211494446
1764733655.522516,502493,0.15447154641151428
1764733664.765623,512534,0.11811023950576782
1764733674.285835,522576,0.12800000607967377
1764733683.648911,532578,0.07692307978868484
1764733692.9160042,542645,0.0901639312505722
1764733705.924404,552689,0.10400000214576721
